Código;Nombre del producto;Marca;Categoría;Descripción;Precio (USD);Stock;Unidades disponibles
B457;Café en cápsulas x10;Dolce Gusto;Bebidas;Para cafeteras automáticas, variedad de sabores.;5.80;Stock disponible;7
B458;Té negro en saquitos x25;La Virginia;Bebidas;Sabor intenso, perfecto para el desayuno.;1.20;Stock disponible;16
B459;Té saborizado frutos rojos x25;La Virginia;Bebidas;Mezcla aromática de té y frutos del bosque.;1.40;Stock disponible;12
B460;Infusión manzanilla x20;Hierbas Serranas;Bebidas;Calmante natural, ideal para relajarse.;1.80;Stock disponible;10
B461;Infusión boldo x20;Hierbas Serranas;Bebidas;Ayuda digestiva, sabor amargo y refrescante.;1.80;Stock disponible;8
B462;Infusión tilo x20;Hierbas Serranas;Bebidas;Relajante, ideal para el descanso.;1.80;Stock disponible;7
B463;Infusión menta x20;Hierbas Serranas;Bebidas;Refrescante y digestiva, sabor intenso.;1.80;Stock disponible;8
B464;Galletitas integrales semillas 200g;Granix;Alimentos;Con semillas y fibras, snack saludable.;2.30;Stock disponible;11
B465;Bizcochos integrales 200g;Granix;Alimentos;Snack crocante, bajo en grasas.;2.30;Stock disponible;12
B466;Barra de cereal frutos rojos 25g;Granix;Alimentos;Snack energético sabor frutos rojos.;1.10;Stock disponible;9
B467;Barra de cereal yogur 25g;Granix;Alimentos;Snack energético sabor yogur.;1.10;Stock disponible;8
B468;Galletitas dulces coco 120g;Sonrisas;Alimentos;Con ralladura de coco, suaves y deliciosas.;2.10;Stock disponible;10
B469;Galletitas dulces chocolate 120g;Sonrisas;Alimentos;Con chips de chocolate, crocantes.;2.10;Stock disponible;10
B470;Pastillas de menta 30g;DRFRESH;Alimentos;Refrescan el aliento, ideales para llevar.;1.20;Stock disponible;12
B471;Goma de mascar x20;Beldent;Alimentos;Sabor a menta, sin azúcar.;1.80;Stock disponible;11
B472;Caramelos surtidos 100g;Arcor;Alimentos;Caramelos duros y blandos de varios sabores.;2.00;Stock disponible;15
B473;Chicles rellenos frutales x20;Beldent;Alimentos;Chicles blandos con relleno frutal.;2.10;Stock disponible;13
B474;Caramelos masticables 100g;Arcor;Alimentos;Caramelos suaves y deliciosos, varios sabores.;2.00;Stock disponible;12
B475;Pastillas de anís 30g;DRFRESH;Alimentos;Pastillas digestivas, sabor anís intenso.;1.20;Stock disponible;10
B476;Golosinas surtidas 150g;Arcor;Alimentos;Mezcla de caramelos, chicles y gomitas.;2.30;Stock disponible;11
B477;Chocolates en mini barra 100g;Arcor;Alimentos;Mini barras de chocolate con leche.;3.20;Stock disponible;12
B478;Chocolate con almendras 80g;Arcor;Alimentos;Chocolate con leche y almendras tostadas.;3.40;Stock disponible;8
B479;Chocolate negro 70% 80g;Arcor;Alimentos;Chocolate amargo, alto porcentaje de cacao.;3.40;Stock disponible;7
B480;Tableta de chocolate blanco 80g;Arcor;Alimentos;Chocolate blanco suave y cremoso.;3.40;Stock disponible;7
B481;Turrón de maní 100g;Georgalos;Alimentos;Turrón clásico de maní, dulce y crocante.;2.10;Stock disponible;10
B482;Mantecol clásico 110g;Georgalos;Alimentos;Dulce tradicional a base de maní.;2.50;Stock disponible;11
B483;Barra de cereal banana 25g;Granix;Alimentos;Snack energético sabor banana.;1.10;Stock disponible;9
B484;Barra de cereal coco 25g;Granix;Alimentos;Snack energético sabor coco.;1.10;Stock disponible;9
B485;Barra proteica frutos secos 60g;Star Nutrition;Alimentos;Suplemento de proteínas, frutos secos y semillas.;3.10;Stock disponible;6
B486;Barra proteica yogur 60g;Star Nutrition;Alimentos;Con yogur natural y cereales integrales.;3.10;Stock disponible;6
B487;Frutas desecadas mix 100g;Nutrilon;Alimentos;Mezcla de damascos, ciruelas y peras.;3.20;Stock disponible;8
B488;Ciruelas desecadas 100g;Nutrilon;Alimentos;Fibra natural, snack saludable.;2.80;Stock disponible;7
B489;Damascos desecados 100g;Nutrilon;Alimentos;Dulces y suaves, ricos en fibra.;2.80;Stock disponible;7
B490;Peras desecadas 100g;Nutrilon;Alimentos;Fruta deshidratada, ideal para colaciones.;2.80;Stock disponible;7
B491;Nueces peladas 100g;Nutrilon;Alimentos;Fruto seco, fuente de Omega 3.;4.20;Stock disponible;8
B492;Almendras 100g;Nutrilon;Alimentos;Fruto seco, alto contenido de proteínas y grasas saludables.;4.80;Stock disponible;6
B493;Maní japonés 120g;Maní King;Alimentos;Snack crocante, recubierto saborizado.;2.20;Stock disponible;9
B494;Semillas de girasol 100g;Nutrilon;Alimentos;Snack saludable y energético.;2.30;Stock disponible;8
B495;Pasas rubias 100g;Arcor;Alimentos;Fruta deshidratada, sabor suave.;2.00;Stock disponible;7
B496;Pasas negras 100g;Arcor;Alimentos;Fruta deshidratada, sabor intenso.;2.00;Stock disponible;6
B497;Harina de almendras 200g;Nutrilon;Alimentos;Para repostería y recetas saludables.;5.90;Stock disponible;4
B498;Harina de coco 200g;Nutrilon;Alimentos;Baja en carbohidratos, para recetas dulces.;5.90;Stock disponible;3
B499;Levadura seca 100g;Fleischmann;Alimentos;Ideal para panificados y masas.;1.70;Stock disponible;10
B500;Polvo para hornear 200g;Royal;Alimentos;Leudante para repostería y panadería.;2.10;Stock disponible;11
